index,trans_date_trans_time,cc_num,device_os,merchant,amt,trans_num,unix_time,first,last,gender,street,city,zip,job,dob,lat,long,city_pop,state,category,merch_lat,merch_long,merchant_id
30000,2023-10-23 00:00:00,7554841364236395,Windows,Merchant_4,237.19339658264167,TR715024,1697760000,Mike,Johnson,F,2nd Ave,Los Angeles,23901.0,Lawyer,1995-04-11,34.0522,-118.2437,3979576.0,CA,Apparel,-61.315034940059576,-49.02547890057431,4
30001,2023-01-13 00:00:00,8299329211991767,,Merchant_29,111.7908420278946,TR571843,1689552000,Mike,Williams,F,Broadway,Los Angeles,20866.0,Engineer,1966-03-25,34.0522,-118.2437,3979576.0,CA,Travel,46.78540530038663,2.869387620597508,29
30002,2023-11-12 00:00:00,1231978459576854,X11,Merchant_2,263.23662536137624,TR616150,1702425600,John,Davis,M,Maple St,Chicago,68038.0,Doctor,2004-03-23,41.8781,-87.6298,2716000.0,IL,Groceries,-41.65488574514497,90.05157388576708,2
30003,2023-03-20 00:00:00,2342135124331538,other,Merchant_89,355.4244714829625,TR187930,1693094400,John,Smith,F,Broadway,Phoenix,37541.0,Doctor,1968-03-02,33.4484,-112.074,1680992.0,AZ,Groceries,56.70517035971261,106.3284407704616,89
30004,2023-07-05 00:00:00,3265698529432098,macOS,Merchant_99,252.47161211332025,TR279779,1685404800,Bob,Smith,M,Maple St,Los Angeles,79788.0,Teacher,1983-09-10,34.0522,-118.2437,3979576.0,CA,Apparel,0.5115067976039995,-134.1933430640006,99
30005,2023-01-21 00:00:00,8668695521482692,other,Merchant_91,435.5114015565856,TR264797,1702166400,Bob,Johnson,M,Main St,Los Angeles,,,1984-10-03,34.0522,-118.2437,3979576.0,CA,Travel,79.7067731441328,112.03571661664807,91
30006,2023-01-11 00:00:00,8234212817097551,,Merchant_62,318.20583879272226,TR822387,1692489600,John,Johnson,F,Main St,Chicago,58289.0,Teacher,1980-04-01,41.8781,-87.6298,2716000.0,IL,Electronics,-42.8461377597528,41.78491327039501,62
30007,2023-02-17 00:00:00,3662463286362375,Windows,Merchant_88,293.3702302560558,TR889994,1695600000,Jane,Clark,F,1st Ave,Phoenix,55545.0,Doctor,1965-06-04,33.4484,-112.074,1680992.0,AZ,Apparel,-17.917907867471598,15.543522879757631,88
30008,2023-12-02 00:00:00,5258736585882790,other,Merchant_96,223.3594993949445,TR316808,1699142400,Joe,Johnson,F,1st Ave,Los Angeles,11698.0,Engineer,1975-03-18,34.0522,-118.2437,3979576.0,CA,Entertainment,89.06913218571336,-115.5370875639332,96
30009,2023-04-07 00:00:00,7219933597539696,,Merchant_98,421.3697930047781,TR918221,1698278400,Joe,Smith,F,2nd Ave,Houston,19331.0,Doctor,1959-04-03,29.7604,-95.3698,2328000.0,TX,Groceries,29.7596419234222,-16.648430317074684,98
30010,2023-11-17 00:00:00,9945246744239707,Windows,Merchant_12,179.1797824440354,TR966882,1680393600,Bob,Johnson,F,2nd Ave,New York,96359.0,Teacher,1994-09-01,40.7128,-74.006,8419600.0,NY,Electronics,87.97582122185094,73.47387297180416,12
30011,2023-08-15 00:00:00,9945246744239707,,Merchant_7,55.8083434416492,TR128342,1692835200,Bob,Johnson,F,2nd Ave,New York,96359.0,Teacher,1994-09-01,40.7128,-74.006,8419600.0,NY,Travel,-3.1376392142395133,-1.0539371291183386,7
30012,2023-03-07 00:00:00,9335927815448227,macOS,Merchant_54,496.4149801621236,TR458486,1675555200,Emily,Clark,F,Maple St,Los Angeles,69021.0,Doctor,1980-02-21,34.0522,-118.2437,3979576.0,CA,Groceries,0.0671885875949556,15.165293076852493,54
30013,2023-07-01 00:00:00,6109988432551061,,Merchant_35,135.70180683975644,TR335375,1678579200,Nancy,Smith,M,2nd Ave,Los Angeles,28062.0,Engineer,2002-03-19,34.0522,-118.2437,3979576.0,CA,Electronics,68.77535645120233,-129.91125924167875,35
30014,2023-08-19 00:00:00,8088313964262280,,Merchant_67,427.2301382945146,TR894984,1685145600,John,Williams,F,Elm St,Phoenix,73470.0,Artist,1975-11-22,33.4484,-112.074,1680992.0,AZ,Travel,40.95461517742624,-91.11621941232542,67
30015,2023-03-26 00:00:00,3735780944939712,,Merchant_93,36.08837878014009,TR893863,1691798400,Emily,Clark,M,2nd Ave,Phoenix,74863.0,Lawyer,1980-10-02,33.4484,-112.074,1680992.0,AZ,Apparel,33.52105454215821,-105.89801217179304,93
30016,2023-11-21 00:00:00,2614458865063690,,Merchant_54,152.60659650286055,TR983941,1700784000,Mike,Jones,M,2nd Ave,Houston,23989.0,Engineer,2000-02-09,29.7604,-95.3698,2328000.0,TX,Groceries,0.0671885875949556,15.165293076852493,54
30017,2023-12-07 00:00:00,2908693665601189,X11,Merchant_77,431.6096994184004,TR640131,1675987200,Joe,Clark,F,2nd Ave,New York,71751.0,Nurse,1994-04-01,40.7128,-74.006,8419600.0,NY,Travel,-71.4267103648976,103.754631599115,77
